"Tabela 9542 - Pessoas de 15 anos ou mais de idade, total e as alfabetizadas, por sexo, cor ou raça e grupos de idade"
"Variável - Pessoas de 15 anos ou mais de idade (Pessoas)"
"Município";"Cor ou raça";"Idade";"Ano x Alfabetização x Sexo"
"Município";"Cor ou raça";"Idade";"2022"
"Município";"Cor ou raça";"Idade";"Total";;;"Alfabetizadas";;;"Não alfabetizadas"
"Município";"Cor ou raça";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Gavião Peixoto (SP)";"Total";"Total";"3729";"1838";"1891";"3515";"1742";"1773";"214";"96";"118"
"General Salgado (SP)";"Total";"Total";"8609";"4212";"4397";"8074";"3982";"4092";"535";"230";"305"
"Getulina (SP)";"Total";"Total";"8716";"4870";"3846";"8238";"4661";"3577";"478";"209";"269"
"Glicério (SP)";"Total";"Total";"3380";"1637";"1743";"3180";"1552";"1628";"200";"85";"115"
"Guaiçara (SP)";"Total";"Total";"8947";"4371";"4576";"8550";"4201";"4349";"397";"170";"227"
"Guaimbê (SP)";"Total";"Total";"4464";"2187";"2277";"4144";"2045";"2099";"320";"142";"178"
"Guaíra (SP)";"Total";"Total";"32442";"15687";"16755";"31167";"15142";"16025";"1275";"545";"730"
"Guapiaçu (SP)";"Total";"Total";"17653";"8707";"8946";"16817";"8311";"8506";"836";"396";"440"
"Guapiara (SP)";"Total";"Total";"13758";"7009";"6749";"12561";"6523";"6038";"1197";"486";"711"
"Guará (SP)";"Total";"Total";"15134";"7320";"7814";"14183";"6843";"7340";"951";"477";"474"
"Guaraçaí (SP)";"Total";"Total";"6357";"3092";"3265";"5925";"2903";"3022";"432";"189";"243"
"Guaraci (SP)";"Total";"Total";"8484";"4235";"4249";"7931";"3924";"4007";"553";"311";"242"
"Guarani d'Oeste (SP)";"Total";"Total";"1639";"806";"833";"1506";"748";"758";"133";"58";"75"
"Guarantã (SP)";"Total";"Total";"5125";"2520";"2605";"4754";"2352";"2402";"371";"168";"203"
