Cod_mun;municipios;PIB;Ano
3546306;Santa Cruz das Palmeiras;R$ 788.978.101,;2023
3546405;Santa Cruz do Rio Pardo;R$ 4.319.822.468,;2023
3546504;Santa Ernestina;R$ 152.154.555,;2023
3546603;Santa Fé do Sul;R$ 1.988.880.172,;2023
3546702;Santa Gertrudes;R$ 3.568.256.895,;2023
3546801;Santa Isabel;R$ 2.298.061.229,;2023
3546900;Santa Lúcia;R$ 185.362.450,;2023
3547007;Santa Maria da Serra;R$ 197.769.076,;2023
3547106;Santa Mercedes;R$ 97.262.169,;2023
3547502;Santa Rita do Passa Quatro;R$ 992.179.626,;2023
3547403;Santa Rita d'Oeste;R$ 105.525.401,;2023
3547601;Santa Rosa de Viterbo;R$ 1.131.988.610,;2023
3547650;Santa Salete;R$ 66.139.508,;2023
3547205;Santana da Ponte Pensa;R$ 56.776.266,;2023
